Address,Apartment Number,Neighborhood,Zip Code,Beds,Size,Price,Date
24 5th Avenue,?618,Greenwich Village,10011,-,-,415000.0,3-Dec-2019
1025 5th Avenue, 3EN,Carnegie Hill,,2 bd,1450 ft?,1600000.0,2-Dec-2019
239 West 148th Street, 2A,Harlem,10039,1 bd,770 ft?,465000.0,2-Dec-2019
424 East 57th Street, 6E,Beekman,,Studio,250 ft?,300000.0,2-Dec-2019
40 West 72nd Street, 118,Central Park West,,2 bd,1200 ft?,1350000.0,27-Nov-2019
39 East 29th Street, 9D,Flatiron,,1 bd,792 ft?,1090000.0,27-Nov-2019
176 West 86th Street, 5B,Broadway Corridor,,1 bd,558 ft?,710000.0,27-Nov-2019
31 Nagle Avenue, 3B,Washington Heights,,-,-,382000.0,27-Nov-2019
993 5th Avenue, 16FL,Carnegie Hill,,3 bd,-,11300000.0,26-Nov-2019
200 East 21st Street, 8c,Gramercy Park,10010,3 bd,1823 ft?,3540000.0,26-Nov-2019
570 Broome Street, 20A,Soho,10013,2 bd,1248 ft?,3035000.0,26-Nov-2019
1349 Lexington Avenue, 9F,Carnegie Hill,10128,2 bd,-,1743000.0,26-Nov-2019
692 Broadway, 824,Noho,10012,-,-,1575000.0,26-Nov-2019
30 West Street, 22C,Battery Park City,10004,2 bd,1150 ft?,1569000.0,26-Nov-2019
40 West 72nd Street, 42,Central Park West,,-,-,1353000.0,26-Nov-2019
515 East 72nd Street, 18K,Lenox Hill,10021,1 bd,685 ft?,880000.0,26-Nov-2019
3 Hanover Square, 16F,Financial District,10041,2 bd,-,630000.0,26-Nov-2019
118 East 60th Street, 22A,Park,10022,1 bd,-,599000.0,26-Nov-2019
360 Cabrini Boulevard, 7H,Washington Heights,,-,-,520000.0,26-Nov-2019
40 Tiemam Place, 4A,Morningside Heights,,2 bd,-,450000.0,26-Nov-2019
